Town,Super,Diesel,Kerosene
Archers Post,179.85,165.06,149.03
Lodosoit,180.95,166.16,150.13
Naivasha,176.95,162.15,146.11
Marigat,177.34,162.55,146.51
Kabarnet ,177.83,163.04,147.01
Maralal,178.92,164.13,148.1
Wamba,179.76,164.97,148.93
Rumuruti,177.41,162.62,146.58
Eldoret,177.5,162.72,146.67
Kiplombe,177.5,162.72,146.67
Iten,177.5,162.72,146.67
Naiberi,177.5,162.72,146.67
Kesses,177.5,162.72,146.67
Kapsabet,177.52,162.74,146.68
Webuye,177.93,163.15,147.1
Kitale,177.86,163.08,147.03
Kapenguria ,178.5,163.72,147.67
Bungoma,178.26,163.48,147.44
Moiben,177.52,162.74,146.68
Matunda,177.49,162.7,146.66
Burnt Forest,177.45,162.67,146.62
Tambach,177.54,162.76,146.71
Kapsowar,178,163.22,147.18
Chebara,177.89,163.1,147.06
Kimwarer,177.81,163.03,146.99
Timboroa,177.73,162.95,146.9
Nandi Hills,177.69,162.91,146.87
Kaiboi,177.55,162.77,146.73
Kiminini,178.05,163.27,147.21
Endebes,178.39,163.61,147.57
Saboti,178.07,163.29,147.25
Chepareria,178.71,163.93,147.87
Lomut,180.33,165.53,149.49
Burgich,179.12,164.34,148.29
Sigor,179.25,164.47,148.42
Lodwar,181.68,166.9,150.85
Kakuma,183.27,168.49,152.44
Lokichar,180.68,165.9,149.85
Kalokol,182.44,167.66,151.61
Lokori,181.05,166.27,150.22
Lokitaung,185.33,170.55,154.49
Kapedo,180.33,165.53,149.49
Malaba,178.66,163.88,147.84
Lokichogio,184.46,169.68,153.63
Ziwa,177.69,162.91,146.87
Soy,177.51,162.72,146.67
Moi's Bridge,177.57,162.78,146.74
Turbo,177.45,162.67,146.62
Kibish,185.56,170.77,154.73
Nakalale,184.39,169.6,153.55
Loima,180.8,166.02,149.97
Lokiriama,182.37,167.59,151.53
Kainuk,179.57,164.79,148.74
Kacheliba,178.9,164.12,148.07
Kiwawa,179.5,164.72,148.68
Ortum,179.09,164.31,148.26
Kachibora,177.89,163.1,147.06
Kwanza,178.6,163.82,147.78
Kaplamai,177.92,163.14,147.08
Eldama Ravine,178.33,163.55,147.51
Tenges,178.47,163.69,147.65
Barwessa,178.59,163.81,147.75
Kipsaraman,179.49,164.71,148.66
Loruk,179.36,164.58,148.53
Kabartonjo,178.33,163.55,147.51
Tindiret,178.39,163.61,147.57
O'lessos,177.57,162.78,146.74
Kobujoi,177.97,163.19,147.14
Serem,178.05,163.27,147.21
Kabiyet,177.51,162.72,146.67
Cheptulu,177.93,163.15,147.1
Songor,178.47,163.69,147.65
Kapcherop,178.11,163.33,147.28
Sambalat,178.79,164.01,147.97
Arror,178.45,163.67,147.61
Tot,178.65,163.87,147.82
Kaptarakwa,177.69,162.91,146.87
Kapese,180.65,165.86,149.82
Kalemngorok,180.03,165.25,149.21
Marich,179.02,164.24,148.19
Alale,179.5,164.72,148.68
Kunyao,179.17,164.39,148.34
Asilong,178.76,163.98,147.93
Orolwo,178.79,164.01,147.97
Sebit,178.74,163.96,147.92
Morpus,178.65,163.87,147.82
Chepkorniswo,178.53,163.75,147.71
Kaibichbich,178.49,163.7,147.66
Keringet,178.21,163.43,147.39
Kisumu,177.5,162.7,146.66
Sondu,177.59,162.8,146.77
Oyugis,178.08,163.29,147.25
Kakamega,177.54,162.75,146.72
Mumias,177.82,163.03,146.99
Bondo,177.7,162.91,146.88
Siaya,177.83,163.04,147
Kericho,178,163.21,147.17
Nyamira,178.07,163.28,147.24
Kisii,178.37,163.58,147.55
Sotik,178.21,163.42,147.38
Keroka,178.39,163.6,147.56
Busia,178.36,163.57,147.54
Homabay,178.31,163.52,147.48
Migori,179.17,164.37,148.34
Isebania,179.45,164.66,148.62
Bomet,178.61,163.82,147.78
Muhoroni,177.72,162.93,146.9
Mbita,178.3,163.5,147.47
Mbale,177.5,162.7,146.66
Etago,178.94,164.15,148.12
Magenche,179.05,164.26,148.22
Kilgoris,178.88,164.09,148.06
Malava,177.86,163.06,147.03
Lugari,178.25,163.45,147.42
Rodi Kopany,178.37,163.58,147.55
Ndhiwa,178.65,163.86,147.82
Rangwe,178.36,163.57,147.54
Sindo,178.37,163.58,147.55
Awasi,177.45,162.66,146.63
Ahero,177.5,162.7,146.66
Ugunja,177.93,163.13,147.1
Asembo,177.57,162.78,146.75
Usenge,178.06,163.26,147.22
Harambee,177.54,162.75,146.71
Muhuru Bay,179.31,164.52,148.48
Kehancha,179.54,164.75,148.71
Ntimaru,179.85,165.06,149.02
Rongo,178.62,163.83,147.8
Kaspokwony,178.59,163.8,147.75
Chwele,178.53,163.74,147.7
Kimilili,178.46,163.67,147.62
Nambale,178.36,163.57,147.54
SioPort,178.35,163.56,147.53
Port Bunyala,178.4,163.61,147.57
Funyula,178.22,163.43,147.4
Ogembo,178.53,163.74,147.7
Nyangusu,178.79,164,147.96
Sengera,178.72,163.92,147.88
Keumbu,178.44,163.64,147.61
Marani,178.14,163.35,147.31
Kerina,178.5,163.71,147.68
Ikonge,177.86,163.07,147.03
Nyansiongo,178.26,163.47,147.43
