town,jan22,feb22,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,mar23,apr23,may23,jun23,jul23
Lokichar,105.35,105.25,104.85,114.75,120.25,129.25,129.25,129.25,149.25,148.25,147.25,147.25,147.25,147.25,170.83,146.51,153.55,162.28,170.36
Homabay,106.26,105.35,105.47,115.37,120.87,129.87,129.87,129.87,149.87,148.87,147.87,147.87,147.87,147.87,172.45,146.67,145.79,162.91,171.04
Tarbaj,106.13,106.26,107.09,116.99,122.49,131.49,131.49,131.49,151.49,150.49,149.49,149.49,149.49,149.49,171.26,148.1,147.48,164.53,172.78
Kaplamai,105.11,106.13,105.89,115.79,121.29,130.29,130.29,130.29,150.29,149.29,148.29,148.29,148.29,148.29,171.38,146.67,146.87,163.33,171.48
Namanga,105.16,105.11,106.02,115.92,121.42,130.42,130.42,130.42,150.42,149.42,148.42,148.42,148.42,148.42,169.64,146.67,147.87,163.46,171.62
Marigat,104.34,105.16,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,175.4,146.67,147.33,161.71,169.75
Kipsaraman,104.74,104.34,110.04,119.94,125.44,134.44,134.44,134.44,154.44,153.44,152.44,152.44,152.44,152.44,172.81,146.67,148.84,167.48,175.95
Burgich,104.81,104.74,107.45,117.35,122.85,131.85,131.85,131.85,151.85,150.85,149.85,149.85,149.85,149.85,174.57,146.67,146.67,164.88,173.17
Kachibora,104.27,104.81,109.21,119.11,124.61,133.61,133.61,133.61,153.61,152.61,151.61,151.61,151.61,151.61,173.18,146.67,146.04,166.64,175.06
Sondu,104.7,104.27,107.82,117.72,123.22,132.22,132.22,132.22,152.22,151.22,150.22,150.22,150.22,150.22,177.46,146.67,147.31,165.25,173.56
Webuye,105.25,104.7,112.09,121.99,127.49,136.49,136.49,136.49,156.49,155.49,154.49,154.49,154.49,154.49,172.45,146.68,146.67,169.53,178.15
Kiminini,104.88,105.25,107.09,116.99,122.49,131.49,131.49,131.49,151.49,150.49,149.49,149.49,149.49,149.49,170.06,147.1,146.67,164.53,172.78
Kajiado,105.57,104.88,105.44,115.34,120.84,129.84,129.84,129.84,149.84,148.84,147.84,147.84,147.84,147.84,170.8,147.03,146.53,162.87,171
Lungalunga,105.21,105.57,111.23,121.13,126.63,135.63,135.63,135.63,155.63,154.63,153.63,153.63,153.63,153.63,176.59,146.67,148.26,168.66,177.22
Kiganjo,105.42,105.21,104.47,114.37,119.87,128.87,128.87,128.87,148.87,147.87,146.87,146.87,146.87,146.87,169.83,147.44,146.67,161.9,169.96
Kabarnet ,104.47,105.42,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.68,147.25,161.71,169.75
Loruk,104.26,104.47,104.34,114.24,119.74,128.74,128.74,128.74,148.74,147.74,146.74,146.74,146.74,146.74,169.64,146.66,146.68,161.77,169.82
Sololo,104.37,104.26,104.22,114.12,119.62,128.62,128.62,128.62,148.62,147.62,146.62,146.62,146.62,146.62,169.58,146.62,146.67,161.65,169.7
Elwak,104.85,104.37,112.33,122.23,127.73,136.73,136.73,136.73,156.73,155.73,154.73,154.73,154.73,154.73,177.69,146.71,147.21,169.77,178.41
Makuyu,104.32,104.85,111.15,121.05,126.55,135.55,135.55,135.55,155.55,154.55,153.55,153.55,153.55,153.55,176.52,147.18,148.42,168.59,177.14
Kacheliba,104.59,104.32,107.57,117.47,122.97,131.97,131.97,131.97,151.97,150.97,149.97,149.97,149.97,149.97,172.93,147.06,146.67,165,173.29
Mtito Andei,104.48,104.59,109.13,119.03,124.53,133.53,133.53,133.53,153.53,152.53,151.53,151.53,151.53,151.53,174.5,146.99,154.43,166.57,174.97
Mandera,104.6,104.48,106.34,116.24,121.74,130.74,130.74,130.74,150.74,149.74,148.74,148.74,148.74,148.74,171.7,146.67,146.67,163.77,171.97
Lokori,104.77,104.6,105.67,115.57,121.07,130.07,130.07,130.07,150.07,149.07,148.07,148.07,148.07,148.07,171.03,146.9,146.71,163.1,171.25
Malaba,104.84,104.77,106.28,116.18,121.68,130.68,130.68,130.68,150.68,149.68,148.68,148.68,148.68,148.68,171.63,146.67,155.04,163.71,171.9
Lokichogio,105.15,104.84,105.86,115.76,121.26,130.26,130.26,130.26,150.26,149.26,148.26,148.26,148.26,148.26,171.22,146.87,146.67,163.3,171.46
Soy,104.98,105.15,104.66,114.56,120.06,129.06,129.06,129.06,149.06,148.06,147.06,147.06,147.06,147.06,170.02,146.67,146.58,162.1,170.17
Oyugis,105.16,104.98,105.38,115.28,120.78,129.78,129.78,129.78,149.78,148.78,147.78,147.78,147.78,147.78,170.74,146.73,147.65,162.81,170.93
Marsabit,105.14,105.16,104.68,114.58,120.08,129.08,129.08,129.08,149.08,148.08,147.08,147.08,147.08,147.08,169.64,146.67,145.94,162.12,170.2
Kabartonjo,105.08,105.14,105.11,115.01,120.51,129.51,129.51,129.51,149.51,148.51,147.51,147.51,147.51,147.51,170.47,147.21,146.9,162.53,170.64
Ziwa,105.94,105.08,105.25,115.15,120.65,129.65,129.65,129.65,149.65,148.65,147.65,147.65,147.65,147.65,170.61,146.67,147.57,162.68,170.79
Muranga,106.22,105.94,105.35,115.25,120.75,129.75,129.75,129.75,149.75,148.75,147.75,147.75,147.75,147.75,170.72,147.57,146.67,162.79,170.91
Kisumu,105.38,106.22,106.26,116.16,121.66,130.66,130.66,130.66,150.66,149.66,148.66,148.66,148.66,148.66,171.62,146.67,146.62,163.7,171.89
Mwingi,104.49,105.38,106.13,116.03,121.53,130.53,130.53,130.53,150.53,149.53,148.53,148.53,148.53,148.53,171.49,147.25,145.17,163.57,171.75
Kisii,105.07,104.49,105.11,115.01,120.51,129.51,129.51,129.51,149.51,148.51,147.51,147.51,147.51,147.51,170.47,146.67,155.21,162.53,170.64
Kericho,104.26,105.07,105.17,115.07,120.57,129.57,129.57,129.57,149.57,148.57,147.57,147.57,147.57,147.57,170.52,147.87,146.67,162.59,170.71
Mumias,105.72,104.26,104.34,114.24,119.74,128.74,128.74,128.74,148.74,147.74,146.74,146.74,146.74,146.74,169.64,146.67,147.1,161.77,169.82
Saboti,105.82,105.72,104.74,114.64,120.14,129.14,129.14,129.14,149.14,148.14,147.14,147.14,147.14,147.14,170.1,149.49,146.67,162.17,170.25
