town,jan22,feb22,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,mar23,apr23,may23,jun23,jul23
Kilifi,129.99,129.29,143.82,153.72,159.22,168.22,168.22,168.22,188.42,187.42,186.42,186.42,186.42,186.42,178.69,179.5,179.5,191.15,204.46
Eldoret,129.5,129.99,145.43,155.33,160.83,169.83,169.83,169.83,190.02,189.02,188.02,188.02,188.02,188.02,180.28,182.26,181.49,192.76,206.19
Muhoroni,129.49,129.5,143.98,153.88,159.38,168.38,168.38,168.38,188.57,187.57,186.57,186.57,186.57,186.57,178.84,179.5,179.86,191.3,204.64
Kainuk,132.48,129.49,141.72,151.62,157.12,166.12,166.12,166.12,186.3,185.3,184.3,184.3,184.3,184.3,182.62,182.85,180.84,189.04,202.2
Lomut,133.57,132.48,147.75,157.65,163.15,172.15,172.15,172.15,192.35,191.35,190.35,190.35,190.35,190.35,176.57,179.5,181.5,195.08,208.68
Sigor,129.57,133.57,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,183.47,179.97,181.88,194.53
Mbita,129.97,129.57,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.5,181.88,194.53
Kalokol,130.46,129.97,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,187.15,177.34,181.88,194.53
Kapsabet,131.54,130.46,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,180.6,181.88,194.53
Eldama Ravine,130.13,131.54,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,186.24,179.5,181.88,194.53
Nakuru,130.13,130.13,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,180.27,181.88,194.53
Machakos,130.13,130.13,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,188.74,179.5,181.88,194.53
Kapcherop,130.13,130.13,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,186.24,181.88,194.53
Kilgoris,130.13,130.13,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,187.79,177.34,181.88,194.53
Timboroa,130.14,130.13,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,182.95,181.88,194.53
Moyale,130.55,130.14,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,186.16,179.5,181.88,194.53
Tindiret,130.49,130.55,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,182.8,181.88,194.53
Naivasha,131.12,130.49,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,184.85,182.68,181.88,194.53
Mombasa,130.9,131.12,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,186.46,181.88,194.53
Embu,130.14,130.9,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,188.42,184.37,181.88,194.53
Nandi Hills,130.12,130.14,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,187.33,181.88,194.53
Nakalale,130.08,130.12,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,190.02,183.05,181.88,194.53
Cheptulu,130.16,130.08,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,182.33,181.88,194.53
Wajir,130.64,130.16,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,188.57,178.88,181.88,194.53
Kakuma,130.52,130.64,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,181.36,181.88,194.53
Chepareria,130.44,130.52,135.13,145.03,150.53,159.53,158.64,158.64,178.62,177.62,176.62,176.62,176.62,176.62,168.77,186.3,179.5,181.18,193.77
Arror,130.36,130.44,134.24,144.14,149.64,158.64,158.61,158.61,178.58,177.58,176.58,176.58,176.58,176.58,169.02,179.5,178.05,181.14,193.72
Molo,130.32,130.36,134.21,144.11,149.61,158.61,158.6,158.6,178.57,177.57,176.57,176.57,176.57,176.57,172,192.35,179.54,181.13,193.71
Bomet,130.18,130.32,134.2,144.1,149.6,158.6,158.69,158.69,178.65,177.65,176.65,176.65,176.65,176.65,169.47,179.5,179.5,181.21,193.8
Taveta,130.67,130.18,134.29,144.19,149.69,158.69,159.39,159.39,179.36,178.36,177.36,177.36,177.36,177.36,169.1,179.5,179.5,181.92,194.56
Ortum,131.03,130.67,134.99,144.89,150.39,159.39,158.9,158.9,178.88,177.88,176.88,176.88,176.88,176.88,168.73,179.5,179.59,181.44,194.04
Chebara,130.7,131.03,134.5,144.4,149.9,158.9,158.89,158.89,178.87,177.87,176.87,176.87,176.87,176.87,168.8,179.5,180.66,181.42,194.03
Lokiriama,131.33,130.7,134.49,144.39,149.89,158.89,161.88,161.88,181.85,180.85,179.85,179.85,179.85,179.85,169.51,179.5,177.9,184.41,197.24
Loima,132.95,131.33,137.48,147.38,152.88,161.88,162.98,162.98,182.95,181.95,180.95,180.95,180.95,180.95,168.72,179.5,192.35,185.51,198.42
Gilgil,131.75,132.95,138.58,148.48,153.98,162.98,158.97,158.97,178.95,177.95,176.95,176.95,176.95,176.95,169.47,179.5,180.92,181.5,194.11
Meru,131.88,131.75,134.57,144.47,149.97,158.97,159.38,159.38,179.34,178.34,177.34,177.34,177.34,177.34,169.03,179.5,179.5,181.9,194.54
Matunda,130.13,131.88,134.98,144.87,150.38,159.38,159.86,159.86,179.83,178.83,177.83,177.83,177.83,177.83,169.5,179.5,179.34,182.39,195.08
Kabiyet,135.9,130.13,135.46,145.36,150.86,159.86,160.95,160.95,180.92,179.92,178.92,178.92,178.92,178.92,171.07,179.5,179.5,183.48,196.24
Kesses,133.3,135.9,136.55,146.45,151.95,160.95,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,187.15,181.88,194.53
Voi,135.07,133.3,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.49,181.88,194.53
Kwanza,133.67,135.07,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.5,181.88,194.53
Maua,137.95,133.67,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,182.85,181.88,194.53
Narok,132.95,137.95,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.5,181.88,194.53
Lamu,131.3,132.95,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.5,181.88,194.53
Nanyuki,137.08,131.3,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,182.4,181.88,194.53
Garissa,130.32,137.08,135.14,145.04,150.54,159.54,159.54,159.54,179.52,178.52,177.52,177.52,177.52,177.52,169.48,179.5,179.5,181.89,194.54
Modogashe,130.13,130.32,135.55,145.45,150.95,159.95,159.95,159.95,179.93,178.93,177.93,177.93,177.93,177.93,169.84,179.5,186.3,182.3,194.98
Serem,130.19,130.13,135.49,145.39,150.89,159.89,159.89,159.89,179.86,178.86,177.86,177.86,177.86,177.86,169.47,179.5,178.57,182.24,194.92
Isebania,130.08,130.19,136.12,146.02,151.52,160.52,160.52,160.52,180.5,179.5,178.5,178.5,178.5,178.5,170.24,179.5,179.5,182.88,195.6
Hola,138.19,130.08,135.9,145.8,151.3,160.3,160.3,160.3,180.26,179.26,178.26,178.26,178.26,178.26,169.48,179.5,179.52,182.65,195.34
Kiplombe,137.01,138.19,135.14,145.04,150.54,159.54,159.54,159.54,179.52,178.52,177.52,177.52,177.52,177.52,169.46,179.5,178.65,181.89,194.54
Moiben,133.42,137.01,135.12,145.02,150.52,159.52,159.52,159.52,179.49,178.49,177.49,177.49,177.49,177.49,169.42,179.5,176.98,181.87,194.52
Kerugoya,134.99,133.42,135.08,144.98,150.48,159.48,159.48,159.48,179.45,178.45,177.45,177.45,177.45,177.45,169.52,178.62,188.74,181.83,194.47
Kibish,132.2,134.99,135.17,145.07,150.57,159.57,159.57,159.57,179.54,178.54,177.54,177.54,177.54,177.54,169.98,178.58,179.5,181.92,194.57
Kimwarer,131.52,132.2,135.64,145.54,151.04,160.04,160.04,160.04,180,179,178,178,178,178,169.86,178.57,181.74,182.39,195.07
Bondo,132.14,131.52,135.52,145.42,150.92,159.92,159.92,159.92,179.89,178.89,177.89,177.89,177.89,177.89,169.79,178.65,179.82,182.27,194.95
Tambach,131.72,132.14,135.44,145.34,150.84,159.84,159.84,159.84,179.81,178.81,177.81,177.81,177.81,177.81,169.71,179.36,179.5,182.2,194.87
Maralal,130.52,131.72,135.37,145.27,150.77,159.77,159.77,159.77,179.73,178.73,177.73,177.73,177.73,177.73,169.67,178.88,179.5,182.11,194.78
Kiwawa,131.23,130.52,135.32,145.22,150.72,159.72,159.72,159.72,179.69,178.69,177.69,177.69,177.69,177.69,169.53,178.87,181.22,182.08,194.74
Siaya,130.54,131.23,135.18,145.08,150.58,159.58,159.58,159.58,179.55,178.55,177.55,177.55,177.55,177.55,170.02,181.85,179.5,181.94,194.59
Mogotio,130.96,130.54,135.67,145.57,151.07,160.07,160.07,160.07,180.05,179.05,178.05,178.05,178.05,178.05,170.37,182.95,179.3,182.42,195.11
Isiolo,131.1,130.96,136.03,145.93,151.43,160.43,160.43,160.43,180.39,179.39,178.39,178.39,178.39,178.39,170.05,178.95,178.95,182.78,195.48
Lokichar,131.21,131.1,135.7,145.6,151.1,160.1,160.1,160.1,180.07,179.07,178.07,178.07,178.07,178.07,170.68,179.34,186.39,182.45,195.14
Homabay,132.12,131.21,136.33,146.23,151.73,160.73,160.73,160.73,180.71,179.71,178.71,178.71,178.71,178.71,172.29,179.5,178.62,183.08,195.82
Tarbaj,131.99,132.12,137.95,147.85,153.35,162.35,162.35,162.35,182.33,181.33,180.33,180.33,180.33,180.33,171.09,180.92,180.85,184.7,197.56
Kaplamai,130.96,131.99,136.75,146.65,152.15,161.15,161.15,161.15,181.12,180.12,179.12,179.12,179.12,179.12,171.22,179.5,179.69,183.5,196.26
Namanga,131.03,130.96,136.88,146.78,152.28,161.28,161.28,161.28,181.25,180.25,179.25,179.25,179.25,179.25,169.47,179.5,181.23,183.63,196.4
Marigat,130.19,131.03,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,175.24,179.5,180.69,181.88,194.53
Kipsaraman,130.59,130.19,140.9,150.8,156.3,165.3,165.3,165.3,185.27,184.27,183.27,183.27,183.27,183.27,172.66,179.5,182.21,187.65,200.73
Burgich,130.67,130.59,138.31,148.21,153.71,162.71,162.71,162.71,182.68,181.68,180.68,180.68,180.68,180.68,174.42,179.5,179.5,185.06,197.94
Kachibora,130.13,130.67,140.07,149.97,155.47,164.47,164.47,164.47,184.44,183.44,182.44,182.44,182.44,182.44,173.02,179.5,178.87,186.82,199.83
Sondu,130.55,130.13,138.67,148.57,154.07,163.07,163.07,163.07,183.05,182.05,181.05,181.05,181.05,181.05,177.3,179.5,180.67,185.43,198.34
Webuye,131.1,130.55,142.95,152.85,158.35,167.35,167.35,167.35,187.33,186.33,185.33,185.33,185.33,185.33,172.29,179.52,179.5,189.7,202.93
Kiminini,130.73,131.1,137.95,147.85,153.35,162.35,162.35,162.35,182.33,181.33,180.33,180.33,180.33,180.33,169.91,179.93,179.5,184.7,197.56
Kajiado,131.42,130.73,136.3,146.2,151.7,160.7,160.7,160.7,180.66,179.66,178.66,178.66,178.66,178.66,170.64,179.86,179.36,183.05,195.78
Lungalunga,131.07,131.42,142.08,151.98,157.48,166.48,166.48,166.48,186.46,185.46,184.46,184.46,184.46,184.46,176.43,179.5,181.09,188.84,202
Kiganjo,131.27,131.07,135.32,145.22,150.72,159.72,159.72,159.72,179.69,178.69,177.69,177.69,177.69,177.69,169.67,180.26,179.5,182.08,194.74
Kabarnet ,130.32,131.27,135.13,145.03,150.53,159.53,159.53,159.53,179.51,178.51,177.51,177.51,177.51,177.51,169.47,179.52,180.07,181.88,194.53
Loruk,130.12,130.32,135.19,145.09,150.59,159.59,159.59,159.59,179.57,178.57,177.57,177.57,177.57,177.57,169.47,179.49,180.05,181.95,194.6
Sololo,130.23,130.12,135.08,144.98,150.48,159.48,159.48,159.48,179.45,178.45,177.45,177.45,177.45,177.45,169.42,179.45,179.5,181.83,194.47
Elwak,130.7,130.23,143.19,153.09,158.59,167.59,167.59,167.59,187.56,186.56,185.56,185.56,185.56,185.56,177.53,179.54,180.05,189.94,203.19
Makuyu,130.17,130.7,142.01,151.91,157.41,166.41,166.41,166.41,186.39,185.39,184.39,184.39,184.39,184.39,176.35,180,181.25,188.76,201.92
Kacheliba,130.44,130.17,138.42,148.32,153.82,162.82,162.82,162.82,182.8,181.8,180.8,180.8,180.8,180.8,172.78,179.89,179.5,185.18,198.07
Mtito Andei,130.33,130.44,139.99,149.89,155.39,164.39,164.39,164.39,184.37,183.37,182.37,182.37,182.37,182.37,174.33,179.81,187.79,186.74,199.75
Mandera,130.45,130.33,137.2,147.1,152.6,161.6,161.6,161.6,181.57,180.57,179.57,179.57,179.57,179.57,171.55,179.5,179.51,183.95,196.75
Lokori,130.63,130.45,136.52,146.42,151.92,160.92,160.92,160.92,180.9,179.9,178.9,178.9,178.9,178.9,170.88,179.73,179.54,183.28,196.03
Malaba,130.69,130.63,137.14,147.04,152.54,161.54,161.54,161.54,181.5,180.5,179.5,179.5,179.5,179.5,171.48,179.5,188.42,183.89,196.68
Lokichogio,131,130.69,136.72,146.62,152.12,161.12,161.12,161.12,181.09,180.09,179.09,179.09,179.09,179.09,171.07,179.69,179.5,183.47,196.24
Soy,130.83,131,135.52,145.42,150.92,159.92,159.92,159.92,179.89,178.89,177.89,177.89,177.89,177.89,169.86,179.5,179.86,182.27,194.95
Oyugis,131.01,130.83,136.23,146.13,151.63,160.63,160.63,160.63,180.6,179.6,178.6,178.6,178.6,178.6,170.58,179.55,180.47,182.98,195.71
Marsabit,130.99,131.01,135.54,145.44,150.94,159.94,159.94,159.94,179.92,178.92,177.92,177.92,177.92,177.92,169.47,179.5,179.31,182.29,194.97
Kabartonjo,130.94,130.99,135.96,145.86,151.36,160.36,160.36,160.36,180.33,179.33,178.33,178.33,178.33,178.33,170.31,180.05,179.73,182.71,195.41
Ziwa,131.79,130.94,136.1,146,151.5,160.5,160.5,160.5,180.47,179.47,178.47,178.47,178.47,178.47,170.45,179.5,180.39,182.85,195.58
Muranga,132.07,131.79,136.22,146.12,151.62,160.62,160.62,160.62,180.59,179.59,178.59,178.59,178.59,178.59,170.56,180.39,179.5,182.96,195.69
Kisumu,131.23,132.07,137.12,147.02,152.52,161.52,161.52,161.52,181.49,180.49,179.49,179.49,179.49,179.49,171.47,179.5,179.45,183.87,196.67
Mwingi,130.36,131.23,136.99,146.89,152.39,161.39,161.39,161.39,181.36,180.36,179.36,179.36,179.36,179.36,171.34,180.07,178.46,183.74,196.53
Kisii,130.93,130.36,135.96,145.86,151.36,160.36,160.36,160.36,180.33,179.33,178.33,178.33,178.33,178.33,170.31,179.5,188.57,182.71,195.41
Kericho,130.12,130.93,136.03,145.93,151.43,160.43,160.43,160.43,180.39,179.39,178.39,178.39,178.39,178.39,170.37,180.71,179.5,182.78,195.48
Mumias,131.58,130.12,135.19,145.09,150.59,159.59,159.59,159.59,179.57,178.57,177.57,177.57,177.57,177.57,169.47,179.5,179.93,181.95,194.6
Saboti,131.67,131.58,135.59,145.49,150.99,159.99,159.99,159.99,179.97,178.97,177.97,177.97,177.97,177.97,169.94,182.33,179.5,182.35,195.03
